Tier;Material Group;Raw material;Processstep;Impactcountry;Environmentalimpactgroup;Indicator unit;Material_ePKI_intensity;Valued_Ekpi_intensity
4.0;Metal;Metal - gold - 18kt - yellow - conventional;Extraction;Australia;Water pollution;kg;253.721377028;1995.27705041
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;Austria;Water pollution;kg;0.00306461948808;0.109072312216
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;Austria;Water pollution;kg;0.00306461948808;0.109072312216
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Austria;Water pollution;kg;0.00338496629439;0.133600056807
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;Austria;Water pollution;kg;0.00338496629439;0.133600056807
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;Austria;Water pollution;kg;0.00338496629439;0.133600056807
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;Austria;Water pollution;kg;0.00338496629439;0.133600056807
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;Belgium;Water pollution;kg;0.00306539565493;0.427910834926
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;Belgium;Water pollution;kg;0.00306539565493;0.427910834926
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;Belgium;Water pollution;kg;0.00341468979135;0.566797725556
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;Belgium;Water pollution;kg;0.00338587119135;0.464679213183
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;Belgium;Water pollution;kg;0.00338587119135;0.464679213183
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Belgium;Water pollution;kg;0.00682937958271;1.13359545111
3.0;Metal;Metal - palladium - solid;Processing;Canada;Water pollution;kg;34.6076515863;8875.98472718
3.0;Plant Fibers;Plant Fibers - cotton - organic;Spinning Weaving and Dyeing;China;Water pollution;kg;0.0120615623727;0.756509478195
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Spinning Weaving and Dyeing;China;Water pollution;kg;0.0120903809727;0.816893026484
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;China;Water pollution;kg;0.0120903809727;0.816893026484
4.0;Metal;Metal - gold - 18kt - yellow - Kering responsible;Extraction;China;Water pollution;kg;20.9024682022;3779.48980904
4.0;Metal;Metal - gold - 24kt - conventional;Extraction;China;Water pollution;kg;61.8733531177;11746.8604312
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00306928747256;0.11100178937
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00306928747256;0.11100178937
3.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00341922708118;0.150242068665
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00341922708118;0.150242068665
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00341922708118;0.150242068665
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00339040848118;0.124446552876
3.0;Plant Fibers;Plant Fibers - linen - conventional;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00339040848118;0.124446552876
3.0;Synthetic Fibers;Synthetic Fibers - nylon - Econyl;Spinning Weaving and Dyeing;France;Water pollution;kg;0.00341922708118;0.150242068665
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00306692596826;0.214494811274
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00306692596826;0.214494811274
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00306692596826;0.214494811274
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00341647391276;0.292885781127
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00341647391276;0.292885781127
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00683294782551;0.585771562254
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Germany;Water pollution;kg;0.00341647391276;0.292885781127
3.0;Plant Fibers;Plant Fibers - cotton - recycled;Spinning Weaving and Dyeing;Hungary;Water pollution;kg;0.00338972934373;0.0874509328218
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;Hungary;Water pollution;kg;0.00338972934373;0.0874509328218
3.0;Plastic;Plastic - pp;Spinning Weaving and Dyeing;Hungary;Water pollution;kg;0.00341854794373;0.104443836178
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;Hungary;Water pollution;kg;0.00341854794373;0.104443836178
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;India;Water pollution;kg;0.0128703632034;0.420735692035
